value,description,value_rcl,description_rcl
0,,7,non-forest
1,Other foliage creation of forest area before 1900 and age unknown,1,Other foliage creation of forest area before 1900 and age unknown
2,Oak forest area before 1900 and age unknown,2,Oak forest area before 1900 and age unknown
3,Other foliage creation of forest and forest area before 1900,3,Other foliage creation of forest and forest area before 1900
4,Oak originated before 1900,4,Oak originated before 1900
5,(Pinus sylvestris?) origin of forest area before 1900 and age unknown,5,(Pinus sylvestris?) origin of forest area before 1900 and age unknown
6,(Pinus sylvestris?) created before 1900,6,(Pinus sylvestris?) created before 1900
