value,description,value_rcl,description_rcl
0,niet natuurlijk,5,not natural
1,weinig natuurlijk,1,little nature
2,vrij natuurlijk,2,medium nature
3,natuurlijk,3,nature
4,heel natuurlijk,4,a lot of nature
127,?,6,Other
