value,description,value_rcl,description_rcl
0,,2,Other
1,overige veenweidegebieden,1,Other peatland (overige veenweidegebieden)
2,no data (?) / not peatlands (?),2,Other
3,zoekgebieden strategie vernatting,3,Peatlands wetting strategy (zoekgebieden strategie vernatting)
4,keuze actieve vernatting of polderlandschap,4,Wetland or polder strategy (keuze actieve vernatting of polderlandschap)
