value,description,value_rcl,description_rcl
36,water,1,water
37,droogvallende grond,1,water
43,water met riet,1,water
24,bouwland,3,arable land (bouwland)
26,boomgaard,8,horticulture/fruits (boomgaard)
27,boomkwekerij,8,horticulture/fruits (boomgaard)
32,fruitwekerij,8,horticulture/fruits (boomgaard)
21,bos divers,6,mixed forest (gemengd bos)
19,loofbos,4,deciduous forest (loofbos)
20,naaldbos,5,coniferous forest (naaldbos)
25,grasland,2,grassland (grasland)
41,grasland met riet,2,grassland (grasland)
1,bebouwing,7,urban (bebouwd gebied)
2,Auto(snel)weg,7,urban (bebouwd gebied)
3,Hoofdverbindingsroute,7,urban (bebouwd gebied)
4,verbindingsroute,7,urban (bebouwd gebied)
5,Lokale weg,7,urban (bebouwd gebied)
6,Ged. verharde weg,7,urban (bebouwd gebied)
7,onverharde weg,7,urban (bebouwd gebied)
8,voetgangersgebied,7,urban (bebouwd gebied)
9,rijwielpad,7,urban (bebouwd gebied)
10,voetpad,7,urban (bebouwd gebied)
11,parkeerterrein,7,urban (bebouwd gebied)
12,spoorweg,7,urban (bebouwd gebied)
13,verharding vliegveld,7,urban (bebouwd gebied)
14,spoorbaanlichaam,7,urban (bebouwd gebied)
31,begraafplaats,7,urban (bebouwd gebied)
61,agrarisch bebouwing,7,urban (bebouwd gebied)
62,agrarische erven,7,urban (bebouwd gebied)
28,heide,10,heathlands (heide)
29,zand,12,"sand, dunes (zand, duinen)"
15,kassen,9,greenhouses (glastuinbouw)
30,overig bodemgebruik,16,other/unknown (overig/onbekend)
42,overig terrein met riet,16,other/unknown (overig/onbekend)
0,buitenland,16,other/unknown (overig/onbekend)
128,,16,other/unknown (overig/onbekend)
255,,16,other/unknown (overig/onbekend)
