value,description,value_rcl,description_rcl
0,no data,16,other/unknown (overig)
1,grass,2,grassland (grasland)
2,maize,21,maize (mais)
3,potatoes,22,potatoes (aardappelen)
4,beetroot,23,beetroot (bieten)
5,cereals,20,cereals (granen)
6,other crops,25,other crops (overige landbouwgewassen)
7,bare soil,26,bare soil (kale grond)
8,greenhouses,7,urban (bebouwd gebied)
9,fruits,8,horticulture/fruits (boomgaard)
10,flower bulbs,24,flower bulbs (bloembollen)
12,tree nursery,8,horticulture/fruits (boomgaard)
13,heath,10,heathlands (droge heide)
14,deciduous forest,4,deciduous forest (loofbos)
15,pine forest,5,coniferous forest (naaldbos)
16,other natural situation,14,nature areas (natuurgebied)
17,buildings and roads,7,urban (bebouwd gebied)
