value,description,value_rcl,description_rcl
0,Other,16,other/unknown (overig/onbekend)
1526,overig,16,other/unknown (overig/onbekend)
1527,overig,16,other/unknown (overig/onbekend)
1529,ongedefinieerd,16,other/unknown (overig/onbekend)
1521,grasland,2,grassland (grasland)
1502,bos: loofbos,4,deciduous forest (loofbos)
1508,populieren,4,deciduous forest (loofbos)
1520,akkerland,3,arable land (bouwland)
1506,bos: gemengd bos,6,mixed forest (gemengd bos)
1507,bos: griend,6,mixed forest (gemengd bos)
1505,bos: naaldbos,5,coniferous forest (naaldbos)
1522,boomgaard,8,horticulture/fruits (boomgaard)
1523,boomkwekerij,8,horticulture/fruits (boomgaard)
1531,fruitkwekerij,8,horticulture/fruits (boomgaard)
1525,zand,12,sand (zand)
1629,"basaltblokken, steenglooiing",1,water
1651,aanlegsteiger,1,water
1101,bebouwd gebied,7,urban (bebouwd gebied)
1437,spoorbaanlichaam,7,urban (bebouwd gebied)
1530,dodenakker,7,urban (bebouwd gebied)
1524,heide,10,heathlands (heide)
1107,kassengebied,9,greenhouses (glastuinbouw)
