d_increment,n,one_one,me,me_median,rmse,rmse_median,mec,mec_median,n_within_PI90,n_within_PI90_not
0 cm to 5 cm,337,1:1,-0.06,-0.04,0.49,0.51,0.86,0.85,0.84,0.16
5 cm to 15 cm,3164,1:1,0.01,0.02,0.52,0.53,0.84,0.83,0.88,0.12
15 cm to 30 cm,2737,1:1,-0.01,0.01,0.42,0.45,0.9,0.88,0.88,0.12
30 cm to 60 cm,3994,1:1,-0.01,0.01,0.41,0.44,0.9,0.89,0.88,0.12
60 cm to 100 cm,3529,1:1,0.02,0.02,0.49,0.53,0.88,0.86,0.85,0.15
100 cm to 200 cm,1530,1:1,0.05,0.05,0.57,0.62,0.83,0.8,0.8,0.2
