d_increment,n,one_one,me,me_median,rmse,rmse_median,mec,mec_median,n_within_PI90,n_within_PI90_not
0 cm to 5 cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 cm to 15 cm,742,1:1,0.05,0.06,0.76,0.74,0.67,0.69,0.91,0.09
15 cm to 30 cm,708,1:1,0.2,0.17,0.82,0.81,0.64,0.64,0.9,0.1
30 cm to 60 cm,1404,1:1,0.14,0.13,0.79,0.78,0.68,0.69,0.92,0.08
60 cm to 100 cm,1684,1:1,0.11,0.08,0.77,0.77,0.7,0.7,0.94,0.06
100 cm to 200 cm,1131,1:1,0.07,0.05,0.83,0.84,0.64,0.63,0.93,0.07
