d_increment,n,me,me_var,me_ci_low,me_ci_up,me_median,me_median_var,me_median_ci_low,me_median_ci_up,mse,mse_var,mse_ci_low,mse_ci_up,mse_median,mse_median_var,mse_median_ci_low,mse_median_ci_up,rmse,rmse_ci_low,rmse_ci_up,rmse_median,rmse_median_ci_low,rmse_median_ci_up,var_Y,var_Y_pkg,mec,mec_median,n_within_PI90,n_within_PI90_not,mec_ci_low,mec_ci_up
0 cm to 5 cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 cm to 15 cm,707,-0.74,0.00164,-0.82,-0.66,-0.78,0.00172,-0.87,-0.7,1.52,0.00544,1.38,1.67,1.53,0.00612,1.38,1.69,1.23,1.17,1.29,1.24,1.17,1.3,2.29,1.63,0.34,0.33,0.71,0.29,0.29,0.38
15 cm to 30 cm,680,-0.61,0.00122,-0.68,-0.55,-0.66,0.00128,-0.73,-0.59,1.34,0.00554,1.19,1.49,1.34,0.00645,1.18,1.5,1.16,1.09,1.22,1.16,1.09,1.22,3.06,1.99,0.56,0.56,0.84,0.16,0.52,0.6
30 cm to 60 cm,1278,-0.65,5.8e-4,-0.69,-0.6,-0.66,6.2e-4,-0.71,-0.61,1.49,0.00236,1.4,1.59,1.47,0.00282,1.36,1.57,1.22,1.18,1.26,1.21,1.17,1.25,1.97,2.03,0.24,0.26,0.81,0.19,0.2,0.28
60 cm to 100 cm,1221,-0.62,5.6e-4,-0.66,-0.57,-0.62,6.1e-4,-0.67,-0.57,1.49,0.00274,1.39,1.59,1.46,0.00352,1.34,1.58,1.22,1.18,1.26,1.21,1.16,1.25,1.99,2.06,0.25,0.27,0.83,0.17,0.21,0.3
100 cm to 200 cm,874,-0.59,9.2e-4,-0.65,-0.53,-0.57,9.9e-4,-0.63,-0.51,1.46,0.00402,1.34,1.58,1.39,0.00492,1.26,1.53,1.21,1.16,1.26,1.18,1.12,1.24,2.81,2.08,0.48,0.5,0.85,0.15,0.44,0.52
