OID,Value,Count,omschrijvi
0,1,6163794.000000000000000,Riviervlakte en beekdalen
1,2,15885722.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
2,3,21339159.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
3,4,579058.000000000000000,Rivierduinen
4,5,2545128.000000000000000,Kwelders en riviervlakten
5,6,5221312.000000000000000,Veengebied
6,7,317349.000000000000000,Strandwallen en lage duinen
7,8,9733553.000000000000000,Wadden en slikken
8,9,215707.000000000000000,Binnenwater
9,10,31218979.000000000000000,Buitenwater
10,11,463807.000000000000000,Lössgebied
11,12,296313.000000000000000,Gebieden met Tertiaire en oudere afzettingen
12,13,2534719.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
