OID,Value,Count,omschrijvi
0,1,3925090.000000000000000,Riviervlakte en beekdalen
1,2,19506593.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
2,3,5363641.000000000000000,Kwelders en riviervlakten
3,4,6299496.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
4,5,9516540.000000000000000,Wadden en slikken
5,6,13653783.000000000000000,Veengebied
6,7,522700.000000000000000,Rivierduinen
7,8,309808.000000000000000,Strandwallen en lage duinen
8,9,39416906.000000000000000,Buitenland
9,10,33912348.000000000000000,Buitenwater
10,11,463708.000000000000000,Lössgebied
11,12,295147.000000000000000,Gebieden met Tertiaire en oudere afzettingen
12,13,229880.000000000000000,Binnenwater
13,14,2515803.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
