OID,Value,Count,omschrijvi
0,1,2757770.000000000000000,Riviervlakte en beekdalen
1,2,608015.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
2,3,16526233.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
3,4,333839.000000000000000,Strandwallen en lage duinen
4,5,2833742.000000000000000,Wadden en slikken
5,6,14447068.000000000000000,Bedijkte kwelders en riviervlakten
6,7,1023509.000000000000000,Kwelders en riviervlakten
7,8,5095597.000000000000000,Stedelijk gebied
8,9,785825.000000000000000,Stuifzand
9,10,276387.000000000000000,Rivierduinen
10,11,5539083.000000000000000,Veengebied
11,12,4754117.000000000000000,Binnenwater
12,13,561062.000000000000000,Hoge duinen
13,14,2.000000000000000,"Pleistocene zandgebieden, beneden 16 m. -NAP"
14,15,3925126.000000000000000,Droogmakerij
15,16,118871.000000000000000,Strandvlakten en duinvalleien
16,17,39416784.000000000000000,Buitenland
17,18,359314.000000000000000,Lössgebied
18,19,251698.000000000000000,Gebieden met Tertiaire en oudere afzettingen
19,20,2167989.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
20,21,34147740.000000000000000,Buitenwater
21,22,1676.000000000000000,Gebieden met kwelderwallen en -ruggen
