OID,Value,Count,omschrijvi
0,1,1896716.000000000000000,Riviervlakte en beekdalen
1,2,38929.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
2,3,14010637.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
3,4,603404.000000000000000,Strandwallen en lage duinen
4,5,6323834.000000000000000,Wadden en slikken
5,6,11143729.000000000000000,Bedijkte kwelders en riviervlakten
6,7,2564695.000000000000000,Kwelders en riviervlakten
7,8,12662.000000000000000,Stedelijk gebied
8,9,16280644.000000000000000,Veengebied
9,10,328962.000000000000000,Rivierduinen
10,11,39416680.000000000000000,Buitenland
11,12,387279.000000000000000,Hoge duinen
12,13,682411.000000000000000,Binnenwater
13,14,206907.000000000000000,Strandvlakten en duinvalleien
14,16,463559.000000000000000,Lössgebied
15,17,292727.000000000000000,Gebieden met Tertiaire en oudere afzettingen
16,18,2255452.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
17,19,38917837.000000000000000,Buitenwater
18,20,104215.000000000000000,Gebieden met kwelderwallen en -ruggen
