OID,Value,Count,omschrijvi
0,1,1659333.000000000000000,Riviervlakte en beekdalen
1,2,41213.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
2,3,12325007.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
3,4,338391.000000000000000,Rivierduinen
4,5,5881090.000000000000000,Kwelders en riviervlakten
5,6,840231.000000000000000,Strandwallen en lage duinen
6,7,32352269.000000000000000,Veengebied
7,8,34329674.000000000000000,Buitenwater
8,9,4771112.000000000000000,Wadden en slikken
9,11,469147.000000000000000,Binnenwater
10,12,259691.000000000000000,Strandvlakten en duinvalleien
11,13,39416849.000000000000000,Buitenland
12,14,462253.000000000000000,Lössgebied
13,15,261861.000000000000000,Gebieden met Tertiaire en oudere afzettingen
14,16,2240633.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
15,17,282697.000000000000000,Gebieden met kwelderwallen en -ruggen
