OID,Value,Count,omschrijvi
0,1,1556095.000000000000000,Riviervlakte en beekdalen
1,2,12167107.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
2,3,959348.000000000000000,Strandwallen en lage duinen
3,4,6591525.000000000000000,Wadden en slikken
4,5,9538430.000000000000000,Kwelders en riviervlakten
5,6,848715.000000000000000,Gebieden met kwelderwallen en -ruggen
6,7,24210583.000000000000000,Veengebied
7,8,24155.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
8,9,331510.000000000000000,Rivierduinen
9,10,259731.000000000000000,Strandvlakten en duinvalleien
10,11,479.000000000000000,"Pleistocene zandgebieden, beneden 16 m. -NAP"
11,12,422912.000000000000000,Binnenwater
12,13,39416922.000000000000000,Buitenland
13,14,462162.000000000000000,Lössgebied
14,15,261861.000000000000000,Gebieden met Tertiaire en oudere afzettingen
15,16,2240038.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
16,17,36639877.000000000000000,Buitenwater
