OID,Value,Count,omschrijvi
0,1,27145506.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
1,2,643722.000000000000000,Rivierduinen
2,3,10993292.000000000000000,Riviervlakte en beekdalen
3,4,21487817.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
4,5,6600167.000000000000000,"Pleistocene zandgebieden, beneden 16 m. -NAP"
5,6,463808.000000000000000,Lössgebied
6,7,296313.000000000000000,Gebieden met Tertiaire en oudere afzettingen
7,8,39416925.000000000000000,Buitenland
8,9,2535097.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
