OID,Value,Count,omschrijvi
0,1,1653699.000000000000000,Riviervlakte en beekdalen
1,2,41251.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
2,3,12296960.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
3,4,344625.000000000000000,Rivierduinen
4,5,976447.000000000000000,Strandwallen en lage duinen
5,6,4366549.000000000000000,Wadden en slikken
6,7,5006763.000000000000000,Kwelders en riviervlakten
7,8,34051873.000000000000000,Veengebied
8,9,2526936.000000000000000,Binnenwater
9,10,280868.000000000000000,Strandvlakten en duinvalleien
10,11,39416924.000000000000000,Buitenland
11,12,462253.000000000000000,Lössgebied
12,13,261861.000000000000000,Gebieden met Tertiaire en oudere afzettingen
13,14,2251479.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
14,15,2.000000000000000,"Pleistocene zandgebieden, beneden 16 m. -NAP"
15,16,31805712.000000000000000,Buitenwater
16,17,187249.000000000000000,Gebieden met kwelderwallen en -ruggen
