value,description,value_rcl,description_rcl
0,Other,10,Other
1,Hogere Zandgronden,1,Hogere Zandgronden
2,Niet ingedeeld,2,Niet ingedeeld
3,Rivierengebied,3,Rivierengebied
4,Duinen,4,Duinen
5,Laagveengebied,5,Laagveengebied
6,Zeekleigebied,6,Zeekleigebied
7,Heuvelland,7,Heuvelland
8,Afgesloten zeearmen,8,Afgesloten zeearmen
9,Getijdengebied,9,Getijdengebied
10,,,
11,,,
