value,description,value_rcl,description_rcl
152,10A3,101,10A
89,10B1,102,10B
105,10B6,102,10B
134,10B3,102,10B
147,10B7,102,10B
151,10B8,102,10B
188,10B14,102,10B
219,10B4,102,10B
340,10B12,102,10B
375,10B16,102,10B
449,10N12,103,10N
257,10R3,104,10R
335,11/10A4,111,11A
343,11/10A2,111,11A
117,11B6,112,11B
185,11B3,112,11B
233,11B4,112,11B
254,11B8,112,11B
248,11N2,113,11N
123,11/10R3,114,11R
149,11/10S3,115,11S
245,11/10S1,115,11S
4,12B11,122,12B
186,12B9,122,12B
224,12B5,122,12B
294,12B13,122,12B
359,12B15,122,12B
435,12B1,122,12B
10,12C1,123,12C
97,12C2,123,12C
178,12C3,123,12C
199,12C4,123,12C
107,12N6,124,12N
339,13/12A2,131,13A
434,13A1,131,13A
16,13B11,132,13B
322,13B9,132,13B
329,13B13,132,13B
363,13B2,132,13B
5,13C1,133,13C
214,13C2,133,13C
236,13N6,134,13N
306,13/12R3,135,13R
242,13/12S2,136,13S
330,13/12S3,136,13S
136,14B3,142,14B
159,14B4,142,14B
319,14B5,142,14B
373,15/14A4,151,15A
187,15B3,152,15B
286,15B4,152,15B
177,15/14R3,153,15R
156,15/14S3,154,15S
357,15/14T1,155,15T
331,16A1,161,16A
364,16B2a,162,16B
385,16B13,162,16B
316,16C1,163,16C
338,17/16A2,171,17A
420,17A1,171,17A
419,17B13,172,17B
358,17/16R3,173,17R
296,17/16S3,174,17S
374,18A2,181,18A
11,1M38,11,1M
14,1M35,11,1M
46,1M33,11,1M
49,1M30,11,1M
52,1M46,11,1M
108,1M24,11,1M
110,1M41,11,1M
143,1M23,11,1M
180,1M48,11,1M
278,1M49,11,1M
290,1M18b,11,1M
292,1M18a,11,1M
309,1M39,11,1M
311,1M47,11,1M
66,1R1,12,1R
87,1R4,12,1R
206,2H15,21,2H
41,2K34,22,2K
273,2K20,22,2K
201,2L19,23,2L
408,2L22,23,2L
6,2M48,24,2M
12,2M41,24,2M
13,2M35,24,2M
18,2M40,24,2M
21,2M39,24,2M
27,2M49,24,2M
29,2M38,24,2M
36,2M32,24,2M
42,2M34,24,2M
51,2M22,24,2M
53,2M46,24,2M
54,2M10,24,2M
56,2M47,24,2M
62,2M14,24,2M
63,2M3,24,2M
64,2M13,24,2M
68,2M45,24,2M
74,2M33,24,2M
75,2M30,24,2M
83,2M44,24,2M
90,2M4,24,2M
91,2M9,24,2M
95,2M29,24,2M
116,2M5,24,2M
135,2M25,24,2M
138,2M26,24,2M
163,2M24,24,2M
170,2M15,24,2M
171,2M16,24,2M
173,2M6,24,2M
174,2M36,24,2M
191,2M8a,24,2M
196,2M8,24,2M
197,2M7,24,2M
205,2M43,24,2M
208,2M27,24,2M
225,2M11,24,2M
226,2M50,24,2M
241,2M1,24,2M
250,2M2,24,2M
262,2M18b,24,2M
263,2M17,24,2M
274,2M35c,24,2M
276,2M52,24,2M
279,2M35a,24,2M
285,2M18a,24,2M
295,2M49b,24,2M
299,2M31,24,2M
302,2M40a,24,2M
318,2M23,24,2M
328,2M35b,24,2M
333,2M51,24,2M
342,2M20a,24,2M
394,2M19,24,2M
393,2N8,25,2N
23,2R13,26,2R
32,2R13/14,26,2R
37,2R14,26,2R
38,2R11,26,2R
58,2R4,26,2R
69,2R2,26,2R
70,2R1,26,2R
71,2R3,26,2R
76,2R5,26,2R
126,2R12,26,2R
153,2R6,26,2R
222,2R10,26,2R
261,2R7,26,2R
280,2R8,26,2R
372,2R15,26,2R
400,2R9,26,2R
176,2S3,27,2S
215,2S4,27,2S
348,2S6,27,2S
439,2S7,27,2S
344,2T5,28,2T
366,3E11a,31,3E
389,3E9a,31,3E
35,3F12,32,3F
88,3F9,32,3F
140,3F11,32,3F
291,3F7,32,3F
320,3F6,32,3F
327,3F4,32,3F
436,3F14,32,3F
440,3F22,32,3F
106,3G3,33,3G
150,3G7,33,3G
165,3G4,33,3G
204,3G5,33,3G
39,3H13,34,3H
94,3H11,34,3H
103,3H14,34,3H
104,3H3,34,3H
249,3H12,34,3H
424,3H1,34,3H
430,3H15,34,3H
438,3H16,34,3H
9,3K31,35,3K
17,3K28,35,3K
44,3K33,35,3K
45,3K27,35,3K
47,3K34,35,3K
57,3K14,35,3K
