value,description,value_rcl,description_rcl
0,Unknown,3,dunes (duin) & other
1,zand,1,sand (zand)
2,klei,2,clay (klei)
3,duin,3,dunes (duin) & other
4,krijt,4,lime/calcareous (krijt)
