OID,Value,Count,omschrijvi
0,1,1942261.000000000000000,Riviervlakte en beekdalen
1,2,44039.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
2,3,14377278.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
3,4,449126.000000000000000,Strandwallen en lage duinen
4,5,6025295.000000000000000,Wadden en slikken
5,6,13194462.000000000000000,Bedijkte kwelders en riviervlakten
6,7,1993352.000000000000000,Kwelders en riviervlakten
7,8,64240.000000000000000,Stedelijk gebied
8,9,327524.000000000000000,Rivierduinen
9,10,13376178.000000000000000,Veengebied
10,11,581771.000000000000000,Hoge duinen
11,12,1246870.000000000000000,Binnenwater
12,13,170572.000000000000000,Strandvlakten en duinvalleien
13,14,39416922.000000000000000,Buitenland
14,15,463195.000000000000000,Lössgebied
15,16,292727.000000000000000,Gebieden met Tertiaire en oudere afzettingen
16,17,2278357.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
17,18,39616756.000000000000000,Buitenwater
18,19,70443.000000000000000,Gebieden met kwelderwallen en -ruggen
