OID,Value,Count,omschrijvi
0,1,2685542.000000000000000,Riviervlakte en beekdalen
1,2,1930880.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
2,3,17101214.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
3,4,493519.000000000000000,Strandwallen en lage duinen
4,5,7207272.000000000000000,Wadden en slikken
5,6,5725832.000000000000000,Kwelders en riviervlakten
6,7,23935548.000000000000000,Veengebied
7,8,431986.000000000000000,Rivierduinen
8,9,127146.000000000000000,Strandvlakten en duinvalleien
9,10,633071.000000000000000,Binnenwater
10,11,463803.000000000000000,Lössgebied
11,12,293915.000000000000000,Gebieden met Tertiaire en oudere afzettingen
12,13,2450770.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
13,14,39416925.000000000000000,Buitenland
14,15,33034019.000000000000000,Buitenwater
