OBJECTID,grondsoort,FREQUENCY,COUNT_gron
955,  Zand Zand  Zand,51,51
956,  zand zand  zand ,28,28
957,  Zand zand  zand ,41,41
958,  zand zand  zand Zand,54,54
959,  Zand zand  zand Zand,180,180
960,  zand Zand Veen Zand,11,11
961,  zand zand zand ,52,52
962,  zand zand zand -,3,3
963,  zand zand zand  ,18,18
964,  Zand zand zand  ,1,1
965,  Zand zand zand   ,4,4
966,  zand zand zand  Zand,1,1
967,  zand zand zand Zand,43,43
968,  zand zand zand zand ,8,8
969,  Zand zand zand zand ,4,4
970,  zand zand zand zand Zand,17,17
971,  Zand zand zand zand Zand,50,50
972,  zeeklei -  - zeeklei,11,11
973, klei - - - ,5,5
974, klei - - - -,1,1
975, klei - -  ,2,2
976, klei - -  -,21,21
977, klei - - klei ,298,298
978, klei - - klei -,737,737
979, klei - - klei  ,1,1
980, klei - - veen -,2,2
981, klei -   ,3,3
982, klei -    -,3,3
983, klei -   klei -,1,1
984, klei -  klei ,5,5
985, klei - PKB klei ,1,1
986, Klei  - - ,5,5
987, Klei  - - -,65,65
988, Klei  -  ,1,1
989, Klei  -  -,15,15
990, Klei  -   ,7,7
991, Klei  -  Klei,2,2
992, Klei  - klei ,2,2
993, Klei  - klei -,20,20
994, Klei  - klei  ,14,14
995, Klei  - klei Klei,9,9
996, Klei  - zand  ,3,3
997, klei   - ,38,38
998, klei    ,334,334
999, Klei    ,15,15
1000, Klei    - ,6,6
1001, Klei    - -,2,2
1002, Klei     ,2,2
1003, klei      ,9,9
1004, Klei      ,7,7
1005, klei     klei,2,2
1006, Klei     Klei,1,1
1007, klei    Klei,4,4
1008, Klei    Klei,36,36
1009, Klei    klei ,2,2
1010, klei    klei  ,4383,4383
1011, Klei    klei  ,15,15
1012, klei    klei klei,69,69
1013, Klei    klei Klei,5,5
1014, klei   klei ,2895,2895
1015, Klei   klei ,67,67
1016, Klei   Klei ,175,175
1017, klei   klei  ,3,3
1018, klei   klei Klei,29,29
1019, Klei   klei Klei,19,19
1020, klei   zand ,78,78
1021, Klei   zand Klei,11,11
1022, Klei  klei - ,5,5
1023, Klei  klei - -,2,2
1024, Klei  klei  ,4,4
1025, klei  klei  klei,41,41
1026, Klei  klei  Klei,14,14
1027, klei  klei klei ,4,4
1028, Klei  klei klei ,7,7
1029, Klei  klei klei -,4,4
1030, klei  klei klei  ,7,7
1031, Klei  klei klei  ,1,1
1032, klei  klei klei klei,458,458
1033, klei  klei klei Klei,4,4
1034, Klei  klei klei Klei,258,258
1035, Klei  Klei Klei Klei,7,7
1036, Klei  klei zand Klei,2,2
1037, klei  veen  veen,1,1
1038, Klei  zand  ,4,4
1039, Klei  zand klei ,4,4
1040, klei  zand klei  ,7,7
1041, klei  zand klei zand,4,4
1042, klei  zand klei Zand,2,2
1043, klei klei - - ,2,2
1044, klei klei -  ,90,90
1045, klei klei -  -,192,192
1046, klei klei - klei ,4,4
1047, klei klei - klei -,4,4
1048, klei klei   ,2,2
1049, Klei klei   ,1,1
1050, klei klei     ,11,11
1051, Klei klei   Klei,1,1
1052, klei klei  klei ,16,16
1053, klei klei klei klei  ,2,2
1054, klei klei PKB  ,10,10
1055, klei klei PKB  -,48,48
1056, klei klei PKB klei -,2,2
1057, klei veen -  ,9,9
1058, klei veen -  -,37,37
1059, klei veen - klei -,1,1
1060, klei veen   ,4,4
1061, klei veen  klei ,16,16
1062, klei zand -  ,6,6
1063, klei zand -  -,4,4
1064, klei zand -   ,1,1
1065, klei zand -  Klei,1,1
1066, klei zand - klei -,2,2
1067, Klei zand  klei ,1,1
1068, klei zand PKB  -,2,2
1069, klei zand PKB zand ,6,6
1070, klei zand PKB zand -,4,4
1071, veen - - - -,1,1
1072, veen - -  ,3,3
1073, veen - -  -,35,35
1074, Veen - -  ,119,119
1075, veen - -   ,1,1
1076, Veen - -  Veen,22,22
1077, Veen - -  Zand,3,3
1078, veen - - klei -,13,13
1079, veen - - veen ,312,312
1080, veen - - veen -,650,650
1081, Veen - - veen -,1,1
1082, Veen - - Veen ,22,22
1083, veen - - veen  ,4,4
1084, Veen - - Veen Veen,26,26
1085, Veen - - Veen Zand,6,6
1086, veen - - zand -,53,53
1087, veen -  - ,18,18
1088, veen -  - veen,384,384
1089, veen -   ,92,92
1090, veen -   -,4,4
1091, Veen -    ,58,58
1092, Veen -    Veen,4,4
1093, Veen -    Zand,6,6
1094, Veen -   Veen ,20,20
1095, Veen -   Veen Veen,2,2
1096, Veen -   Veen Zand,6,6
1097, veen -  veen ,94,94
1098, veen -  veen -,3,3
1099, Veen - PKB  ,65,65
1100, Veen - PKB  Zand,8,8
1101, veen - PKB veen ,2,2
1102, veen - PKB veen -,6,6
1103, Veen - PKB Veen ,27,27
1104, Veen - PKB Veen Veen,18,18
1105, Veen - PKB Veen Zand,30,30
1106, Veen - Veen -  ,4,4
1107, Veen - Veen - Zand,4,4
1108, Veen - Veen  ,12,12
1109, Veen - Veen  Veen,49,49
1110, Veen - Veen Veen ,5,5
1111, Veen - Veen Veen Veen,124,124
1112, Veen - Zand - Zand,4,4
1113, Veen - Zand  ,59,59
1114, Veen - Zand  Zand,76,76
1115, Veen - Zand Veen ,33,33
1116, Veen - Zand Veen Veen,2,2
1117, Veen - Zand Veen Zand,129,129
1118, veen   - ,7,7
1119, veen   - veen,14,14
1120, Veen   - veen,9,9
1121, veen   - zand,16,16
1122, veen   - zeeklei,91,91
1123, veen    ,63,63
1124, veen    -,5,5
1125, Veen    ,2,2
1126, Veen    -  ,45,45
1127, Veen    - Zand,1,1
1128, Veen     Zand,26,26
1129, veen    veen,16,16
1130, Veen    Veen  ,22,22
1131, Veen    Veen Zand,7,7
1132, Veen    Zand  ,2,2
1133, Veen    Zand Zand,31,31
1134, veen   veen ,251,251
1135, veen   veen -,1,1
1136, veen   veen veen,18,18
1137, Veen   Zand ,4,4
1138, Veen  Klei  Klei,1,1
1139, Veen  Klei Veen  ,7,7
1140, Veen  Klei Veen Klei,1,1
1141, Veen  Veen -  ,144,144
1142, Veen  Veen - Zand,8,8
1143, Veen  Veen   ,48,48
1144, Veen  Veen  Zand,26,26
1145, Veen  Veen Veen  ,188,188
1146, Veen  Veen Veen Veen,36,36
1147, Veen  Veen Veen Zand,23,23
1148, Veen  Veen Zand  ,36,36
1149, Veen  Veen Zand Zand,35,35
1150, Veen  Zand -  ,57,57
1151, Veen  Zand - Zand,24,24
1152, Veen  Zand  Zand,65,65
1153, Veen  Zand Veen  ,39,39
1154, Veen  Zand Veen Zand,48,48
1155, Veen  Zand Zand  ,31,31
1156, Veen  Zand Zand Zand,62,62
1157, veen klei - - ,1,1
1158, veen klei - - -,1,1
1159, veen klei -  ,6,6
1160, veen klei -  -,19,19
1161, veen klei - veen ,1,1
1162, veen klei - veen -,4,4
1163, veen klei PKB  ,2,2
1164, veen klei PKB  -,6,6
1165, veen klei PKB veen -,2,2
1166, Veen Klei Veen   ,13,13
1167, veen veen - - ,11,11
1168, veen veen - - -,21,21
1169, veen veen -  ,52,52
1170, veen veen -  -,180,180
1171, veen veen -   ,1,1
1172, veen veen - veen ,4,4
1173, veen veen - veen -,15,15
1174, veen veen   ,13,13
1175, veen veen   -,1,1
1176, veen veen   veen,16,16
1177, veen veen  veen ,32,32
1178, veen veen  veen veen,47,47
1179, veen veen PKB - -,3,3
1180, veen veen PKB  -,20,20
1181, veen zand - - -,33,33
1182, veen zand -  ,8,8
1183, veen zand -  -,70,70
1184, Veen zand -  ,154,154
1185, Veen zand -  Veen,5,5
1186, Veen zand -  Zand,9,9
1187, veen zand - veen -,4,4
1188, Veen zand - Veen ,19,19
1189, Veen zand - Veen Veen,9,9
1190, Veen zand - Veen Zand,11,11
1191, veen zand - zand -,2,2
1192, Veen zand    ,20,20
1193, Veen zand   Veen ,1,1
1194, veen zand PKB - -,1,1
1195, veen zand PKB  ,94,94
1196, veen zand PKB  -,61,61
1197, Veen zand PKB  ,203,203
1198, Veen zand PKB  -,1,1
1199, veen zand PKB   ,2,2
1200, Veen zand PKB  Veen,8,8
1201, Veen zand PKB  Zand,1,1
1202, veen zand PKB veen ,2,2
1203, veen zand PKB veen -,7,7
1204, Veen zand PKB Veen ,50,50
1205, Veen zand PKB Veen Veen,18,18
1206, Veen zand PKB Veen Zand,10,10
1207, Veen zand Veen  ,20,20
1208, Veen zand Veen  Veen,12,12
1209, Veen zand Veen Veen ,18,18
1210, Veen zand Veen Veen Veen,31,31
1211, Veen zand Zand  ,42,42
1212, Veen zand Zand  Veen,1,1
1213, Veen zand Zand  Zand,24,24
1214, Veen zand Zand Veen ,1,1
1215, Veen zand Zand Veen Veen,1,1
1216, Veen zand Zand Veen Zand,23,23
1217, zand - - - ,20,20
1218, zand - - - -,6,6
1219, zand - -  ,3,3
1220, zand - -  -,19,19
1221, zand - - zand ,211,211
1222, zand - - zand -,454,454
1223, zand - - zand  ,4,4
1224, zand -  - ,4,4
1225, zand -   ,20,20
1226, zand -  zand ,23,23
1227, zand - PKB zand -,1,1
1228, Zand - Veen -  ,9,9
1229, zand  - - -,46,46
1230, Zand  - - ,15,15
1231, Zand  - - -,373,373
1232, zand  -  -,6,6
1233, Zand  -  ,1,1
1234, Zand  -  -,55,55
1235, Zand  -   ,3,3
1236, zand  - zand ,6,6
1237, zand  - zand -,146,146
1238, Zand  - zand ,1,1
1239, Zand  - Zand ,20,20
1240, Zand  - Zand -,143,143
1241, Zand  - zand  ,705,705
1242, Zand  - zand Zand,4,4
1243, zand   - ,76,76
1244, Zand   - ,354,354
1245, Zand   - -,18,18
1246, zand   - zand,73,73
1247, zand   - Zand,10,10
1248, Zand   - Zand,14,14
1249, zand    ,400,400
1250, Zand    ,134,134
1251, Zand    -,1,1
1252, Zand    -  ,16,16
1253, Zand    - Zand,2,2
1254, zand      ,9,9
1255, Zand      ,3,3
1256, Zand     Zand,17,17
1257, Zand    Veen  ,6,6
1258, zand    zand,2,2
1259, zand    Zand,2,2
1260, Zand    Zand,77,77
1261, zand    zand  ,2186,2186
1262, Zand    zand  ,28,28
1263, Zand    Zand  ,1,1
1264, zand    zand zand,2,2
1265, Zand    Zand Zand,40,40
1266, zand   klei ,57,57
1267, zand   zand ,10806,10806
1268, Zand   zand ,550,550
1269, Zand   Zand ,1270,1270
1270, Zand   Zand -,66,66
1271, zand   zand  ,3,3
1272, zand   zand Zand,20,20
1273, Zand   zand Zand,29,29
1274, Zand   Zand Zand,8,8
1275, Zand  Klei - Klei,2,2
1276, zand  klei  ,5,5
1277, Zand  Klei  Klei,2,2
1278, zand  klei zand ,4,4
1279, Zand  Klei Zand Klei,10,10
1280, Zand  Veen -  ,56,56
1281, Zand  Veen - Zand,10,10
1282, Zand  Veen   ,77,77
1283, Zand  Veen  Zand,2,2
1284, Zand  Veen Veen  ,63,63
1285, Zand  Veen Veen Zand,26,26
1286, Zand  Veen Zand  ,32,32
1287, Zand  Veen Zand Veen,3,3
1288, Zand  Veen Zand Zand,26,26
1289, zand  zand - ,5,5
1290, Zand  Zand -  ,22,22
1291, zand  zand - Zand,7,7
1292, Zand  zand - Zand,13,13
1293, Zand  Zand - Zand,15,15
1294, zand  zand  ,3,3
1295, Zand  zand  -,3,3
1296, Zand  Zand  ,9,9
1297, zand  zand   ,3,3
1298, Zand  Zand   ,13,13
1299, zand  zand  Zand,1,1
1300, Zand  zand  Zand,17,17
1301, Zand  Zand  Zand,53,53
1302, Zand  Zand Veen  ,10,10
1303, Zand  Zand Veen Zand,15,15
1304, zand  zand zand ,6,6
1305, Zand  zand zand ,15,15
1306, Zand  Zand Zand ,83,83
1307, zand  zand zand  ,81,81
1308, Zand  zand zand  ,2,2
1309, Zand  Zand Zand  ,7,7
1310, zand  zand zand zand,3,3
1311, zand  zand zand Zand,17,17
1312, Zand  zand zand Zand,1448,1448
1313, Zand  Zand Zand Zand,597,597
1314, zand klei -  -,2,2
1315, Zand klei   ,1,1
1316, zand klei  zand ,1,1
1317, Zand klei  zand ,1,1
1318, zand klei klei zand ,1,1
1319, zand veen -  -,2,2
1320, zand zand -  ,11,11
1321, zand zand -  -,31,31
1322, Zand zand -  ,1,1
1323, Zand zand -  -,4,4
1324, zand zand - zand ,2,2
1325, zand zand - zand -,1,1
1326, Zand zand - Zand ,1,1
1327, zand zand   ,4,4
1328, Zand zand   ,4,4
1329, Zand Zand   ,28,28
1330, zand zand     ,1,1
1331, zand zand   Zand,6,6
1332, Zand zand   Zand,1,1
1333, zand zand   zand  ,2,2
1334, zand zand  zand ,25,25
1335, zand zand  zand Zand,8,8
1336, Zand zand  zand Zand,4,4
1337, Zand Zand Klei  Klei,1,1
1338, zand zand PKB  ,46,46
1339, zand zand PKB  -,162,162
1340, zand zand PKB   ,4,4
1341, zand zand PKB zand ,11,11
1342, zand zand PKB zand -,25,25
1343, Zand zand zand - Zand,1,1
1344, Zand zand zand  ,2,2
1345, Zand Zand Zand  ,9,9
1346, Zand Zand Zand  Zand,6,6
1347, Zand zand zand zand ,7,7
1348, zand zand zand zand Zand,6,6
1349, Zand zand zand zand Zand,31,31
1350, zeeklei -  - ,1,1
1351, zeeklei -  - zeeklei,3,3
1352, zeeklei   - ,6,6
1353, zeeklei   - veen,6,6
1354, zeeklei   - zand,46,46
1355, zeeklei   - zeeklei,125,125
1356, zeeklei    zeeklei,2,2
1357,Klei-Veen - Klei-Veen - - -,3,3
1358,Klei-Veen - Klei-Veen Klei-Veen - Klei-Veen,9,9
1359,Klei-Veen  Klei-Veen -  -,5,5
1360,Klei-Veen  Klei-Veen Klei-Veen  Klei-Veen,14,14
1361,Klei-Zand - Klei-Zand - - -,272,272
1362,Klei-Zand - Klei-Zand - - Klei-Zand,1,1
1363,Klei-Zand - Klei-Zand  - ,6,6
1364,Klei-Zand - Klei-Zand   -  ,2,2
1365,Klei-Zand - Klei-Zand Klei-Zand - -,1,1
1366,Klei-Zand - Klei-Zand Klei-Zand - Klei-Zand,313,313
1367,Klei-Zand - Klei-Zand Klei - Klei,1,1
1368,Klei-Zand   Klei-Zand Klei-Zand - Klei-Zand,1,1
1369,Klei-Zand  Klei-Zand -  -,202,202
1370,Klei-Zand  Klei-Zand -  Klei-Zand,3,3
1371,Klei-Zand  Klei-Zand   ,25,25
1372,Klei-Zand  Klei-Zand     ,2,2
1373,Klei-Zand  Klei-Zand Klei-Zand  Klei-Zand,252,252
1374,Klei-Zand  Klei-Zand Klei  Klei,2,2
1375,Klei - - - - -,2,2
1376,Klei - - Klei - Klei,1,1
1377,Klei -  - - -,7,7
1378,Klei -  - - Klei,3,3
1379,Klei -  -  -,2,2
1380,klei -   - ,1,1
1381,klei - klei - - -,5,5
1382,Klei - Klei - - -,448,448
1383,Klei - Klei - - Klei,7,7
1384,Klei - klei -  -,2,2
1385,klei - klei  - ,589,589
1386,Klei - Klei  - ,33,33
1387,klei - klei   ,5,5
1388,Klei - klei   -  ,2,2
1389,Klei - Klei   -  ,2,2
1390,klei - klei  klei ,155,155
1391,klei - klei  zand ,5,5
1392,Klei - Klei Klei - -,9,9
1393,Klei - Klei Klei - Klei,830,830
1394,klei - zand  klei ,1,1
1395,klei  - -  ,12,12
1396,Klei  - -  -,5,5
1397,Klei  - -   ,2,2
1398,Klei  - -  Klei,1,1
1399,klei  - - klei ,20,20
1400,klei  - - klei -,2,2
1401,klei  - - veen ,1,1
1402,klei  -   ,58,58
1403,Klei  -   ,13,13
1404,Klei  -     ,2,2
1405,Klei  -    Klei,54,54
1406,Klei  -   Klei,7,7
1407,klei  -   Zand,4,4
1408,Klei  -   Zand,3,3
1409,klei  -  klei ,2,2
1410,Klei  -  Klei ,2,2
1411,Klei  - klei  Klei,4,4
1412,Klei  - Klei  Klei,1,1
1413,Klei  - Klei Veen Klei,1,1
1414,Klei  - Veen Zand  ,1,1
1415,klei  - zand  Zand,3,3
1416,Klei   - - -,4,4
1417,Klei   - - Klei,9,9
1418,Klei   -  ,1,1
1419,Klei   -  -,27,27
1420,Klei   -   ,15,15
1421,Klei   -  Klei,4,4
1422,klei     ,87,87
1423,Klei     ,3,3
1424,klei       ,5,5
1425,Klei       ,3,3
1426,Klei      Klei,1,1
1427,Klei     Klei,4,4
1428,klei     klei  ,8,8
1429,klei     Zand,7,7
1430,klei    klei ,2,2
1431,Klei    klei ,1,1
1432,Klei   Klei - - -,42,42
1433,Klei   Klei - Klei,2,2
1434,Klei   klei  ,1,1
1435,klei   klei  - ,4,4
1436,Klei   klei  - ,1,1
1437,Klei   Klei  - ,48,48
1438,klei   klei   -  ,8,8
1439,klei   klei  klei,35,35
1440,Klei   klei  Klei,2,2
1441,Klei   Klei  Klei,2,2
1442,Klei   klei klei ,7,7
1443,klei   klei klei - klei,5,5
1444,Klei   Klei Klei - Klei,25,25
1445,Klei   Klei Veen - Veen,2,2
1446,Klei   Klei Veen   ,13,13
1447,Klei   Veen   ,4,4
1448,Klei   Veen  Zand,4,4
1449,klei   zand  ,8,8
1450,klei   zand  Zand,2,2
1451,Klei   Zand  Zand,4,4
1452,klei  klei - - ,2,2
1453,Klei  Klei - - -,2,2
1454,Klei  Klei - - Klei,4,4
1455,klei  klei -  ,321,321
1456,Klei  klei -  -,7,7
1457,Klei  Klei -  -,471,471
1458,Klei  klei -   ,3,3
1459,Klei  klei -  Klei,35,35
1460,Klei  Klei -  Klei,8,8
1461,klei  klei - klei ,3,3
1462,Klei  klei - klei Klei,2,2
1463,klei  klei - zand ,1,1
1464,Klei  klei  - ,1,1
1465,Klei  Klei  - Klei,1,1
1466,klei  klei   ,2972,2972
1467,Klei  klei   ,146,146
1468,Klei  Klei   ,1057,1057
1469,Klei  klei   -  ,2,2
1470,Klei  Klei    ,1,1
1471,klei  klei     ,901,901
1472,Klei  klei     ,12,12
1473,Klei  Klei     ,42,42
1474,klei  klei    klei,39,39
1475,Klei  Klei    Klei,5,5
1476,Klei  Klei    Veen,3,3
1477,Klei  Klei    Zand,1,1
1478,klei  klei   klei,3,3
1479,Klei  klei   Klei,2,2
1480,Klei  Klei   Klei,147,147
1481,klei  klei   klei  ,6,6
1482,klei  klei   Zand,28,28
1483,Klei  klei   Zand,2,2
1484,klei  klei  klei ,207,207
1485,Klei  Klei  Klei ,5,5
1486,Klei  Klei  klei Klei,10,10
1487,Klei  Klei  Klei Klei,2,2
1488,klei  klei  zand ,3,3
1489,Klei  Klei Klei - Klei,65,65
1490,klei  klei klei  ,4,4
1491,Klei  klei klei  ,3,3
1492,Klei  klei klei  -,7,7
1493,Klei  Klei Klei  ,1,1
1494,Klei  Klei Klei  -,9,9
1495,klei  klei klei   ,5,5
1496,Klei  klei klei   ,8,8
1497,Klei  Klei Klei   ,15,15
1498,klei  klei klei  klei,720,720
1499,Klei  klei klei  Klei,268,268
1500,Klei  Klei Klei  Klei,2220,2220
1501,Klei  Klei Klei  Veen,1,1
1502,Klei  klei klei klei Klei,3,3
1503,Klei  Klei Klei Veen Klei,3,3
1504,Klei  Klei Klei zand Klei,2,2
1505,klei  klei PKB  ,12,12
1506,klei  klei PKB  -,1,1
1507,klei  klei PKB klei -,1,1
1508,Klei  Klei Veen   ,51,51
1509,Klei  Klei Veen  Klei,1,1
1510,klei  klei veen  veen,2,2
1511,Klei  Klei Veen  Veen,255,255
1512,klei  klei zand  ,3,3
1513,Klei  Klei Zand   ,25,25
1514,Klei  Klei Zand  Veen,10,10
1515,klei  klei zand  Zand,20,20
1516,Klei  Klei Zand  Zand,83,83
1517,klei  veen -  ,5,5
1518,klei  zand -  ,2,2
1519,Klei  zand -   ,3,3
1520,Klei  zand -  Klei,21,21
1521,klei  zand   ,31,31
1522,klei  zand  zand ,2,2
1523,Klei  Zand Klei  Klei,1,1
1524,klei  zand PKB  ,1,1
1525,klei  zand PKB zand ,2,2
1526,Klei Klei - -  -,2,2
1527,Klei klei - -   ,16,16
1528,Klei Klei - -   ,6,6
1529,klei klei - - klei -,1,1
1530,Klei klei - - klei  ,11,11
1531,klei klei -   ,8,8
1532,Klei klei -     ,3,3
1533,Klei Klei -     ,6,6
1534,Klei Klei -    Klei,2,2
1535,klei klei -  klei ,11,11
1536,Klei klei - Klei   ,5,5
1537,Klei Klei  -  -,3,3
1538,Klei Klei  -   ,3,3
1539,Klei Klei      ,1,1
1540,klei klei    klei  ,4,4
1541,klei klei   klei ,23,23
1542,Klei Klei  klei klei Klei,1,1
1543,klei klei klei -  -,1,1
1544,Klei Klei klei -  -,2,2
1545,Klei klei Klei -   ,2,2
1546,Klei Klei klei -   ,3,3
1547,Klei Klei klei -  Klei,7,7
1548,Klei Klei klei - klei  ,13,13
1549,Klei Klei klei - klei Klei,6,6
1550,klei klei klei  - ,85,85
1551,klei klei klei   ,147,147
1552,klei klei klei     ,10,10
1553,klei klei klei    klei,3,3
1554,Klei Klei klei    Klei,1,1
1555,klei klei klei   klei  ,73,73
1556,klei klei klei   klei klei,4,4
1557,klei klei klei  klei ,6908,6908
1558,Klei Klei klei  klei ,2,2
1559,Klei Klei Klei  Klei ,2,2
1560,klei klei klei  klei Zand,2,2
1561,klei klei klei  zand ,5,5
1562,Klei klei Klei Klei   ,13,13
1563,Klei klei Klei Klei  Klei,2,2
1564,klei klei klei klei klei  ,2,2
1565,klei klei klei klei klei klei,16,16
1566,Klei Klei klei klei klei Klei,305,305
1567,Klei klei zand -   ,2,2
1568,Klei klei zand -  Klei,1,1
1569,klei klei zand  - ,3,3
1570,klei klei zand  klei ,6,6
1571,klei veen klei   ,1,1
1572,klei veen klei  veen ,3,3
1573,Klei Veen Klei Veen Veen Veen,2,2
1574,Klei Veen Klei Zand Veen Zand,1,1
1575,klei zand klei  - ,3,3
1576,klei zand klei   ,15,15
1577,klei zand klei  klei ,2,2
1578,klei zand klei  zand ,121,121
1579,Klei zand Klei Klei  Klei,1,1
1580,Klei zand Klei Klei zand Klei,3,3
1581,Klei Zand Klei Veen   ,8,8
1582,klei zand zand  - ,3,3
1583,klei zand zand  klei ,1,1
1584,klei zand zand  zand ,7,7
1585,Veen-Zand - Veen-Zand - - -,156,156
1586,Veen-Zand - Veen-Zand - - Veen-Zand,7,7
1587,Veen-Zand - Veen-Zand   -  ,1,1
1588,Veen-Zand - Veen-Zand Veen-Zand - -,2,2
1589,Veen-Zand - Veen-Zand Veen-Zand - Veen-Zand,163,163
1590,Veen-Zand  Veen-Zand -  -,196,196
1591,Veen-Zand  Veen-Zand -  Veen-Zand,7,7
1592,Veen-Zand  Veen-Zand   ,13,13
1593,Veen-Zand  Veen-Zand     ,1,1
1594,Veen-Zand  Veen-Zand Veen-Zand  -,2,2
1595,Veen-Zand  Veen-Zand Veen-Zand  Veen-Zand,179,179
1596,veen - -  - ,8,8
1597,veen - -  - klei,3,3
1598,veen - -  - veen,440,440
1599,Veen - -  - veen,6,6
1600,veen - -  - zeeklei,7,7
1601,veen - -   ,2,2
1602,veen - -  veen ,2,2
1603,veen - veen - - -,3,3
1604,Veen - Veen - - -,2,2
1605,veen - veen  - ,920,920
1606,veen - veen   ,56,56
1607,veen - veen  veen ,23,23
1608,veen - veen  zand ,4,4
1609,Veen - Veen Veen - -,3,3
1610,Veen - Veen Veen - Veen,12,12
1611,veen  - - - veen,2,2
1612,veen  - -  ,19,19
1613,veen  - -  -,2,2
1614,veen  - -  veen,30,30
1615,Veen  - -  Veen,1,1
1616,veen  - - klei veen,131,131
1617,veen  - - veen ,30,30
1618,veen  - - veen -,14,14
1619,veen  - - veen veen,520,520
1620,veen  -  - ,49,49
1621,veen  -  - veen,20,20
1622,Veen  -  - veen,1,1
1623,veen  -   ,959,959
1624,Veen  -   ,6,6
1625,veen  -   - veen,5,5
1626,veen  -    ,13,13
1627,veen  -    veen,33,33
1628,Veen  -    Veen,1,1
1629,veen  -   klei,39,39
1630,Veen  -   klei,28,28
1631,veen  -   klei ,1,1
1632,veen  -   klei veen,3,3
1633,veen  -   veen,552,552
1634,Veen  -   veen,534,534
1635,veen  -   veen veen,13,13
1636,veen  -   zand,29,29
1637,veen  -   zeeklei,93,93
1638,veen  -  klei ,2,2
1639,veen  -  klei veen,7,7
1640,veen  -  veen ,177,177
1641,veen  -  veen veen,60,60
1642,veen  - veen   ,5,5
1643,veen  - veen  veen,379,379
1644,veen  - veen klei veen,23,23
1645,veen  - veen veen veen,39,39
1646,veen   -  - veen,13,13
1647,veen    - veen,1,1
1648,veen     ,53,53
1649,veen     veen,21,21
1650,Veen     veen,5,5
1651,veen     zand,2,2
1652,veen    veen ,19,19
1653,veen    veen veen,2,2
1654,veen   veen   ,2,2
1655,veen   veen  veen,10,10
1656,veen   veen  zand ,1,1
1657,Veen   Veen Klei - Klei,1,1
1658,Veen   Veen Veen -  ,1,1
1659,Veen   Veen Veen - Veen,14,14
1660,Veen   Veen Zand - Zand,3,3
1661,veen  klei -  ,17,17
1662,veen  klei - veen ,2,2
1663,veen  klei - zand ,1,1
1664,veen  klei   klei veen,2,2
1665,veen  klei klei  veen,5,5
1666,veen  klei klei klei ,1,1
1667,veen  klei klei klei veen,8,8
1668,veen  klei PKB  ,8,8
1669,veen  klei PKB veen ,2,2
1670,veen  klei veen  veen,33,33
1671,veen  veen - - veen,56,56
1672,veen  veen -  ,52,52
1673,veen  veen -  -,78,78
1674,veen  veen -   ,1,1
1675,veen  veen -  veen,40,40
1676,Veen  Veen -  Veen,1,1
1677,veen  veen - klei veen,34,34
1678,veen  veen - veen ,14,14
1679,veen  veen - veen -,2,2
1680,veen  veen - veen veen,59,59
1681,veen  veen - zand ,1,1
1682,veen  veen  - ,10,10
1683,veen  veen  - veen,1,1
1684,veen  veen   ,1740,1740
1685,Veen  Veen   ,1,1
1686,veen  veen   - veen,10,10
1687,veen  veen    ,20,20
1688,Veen  Veen     ,25,25
1689,veen  veen    veen,39,39
1690,Veen  Veen    Veen,2,2
1691,Veen  Veen    Zand,2,2
1692,veen  veen   klei veen,2,2
1693,veen  veen   veen,19,19
1694,veen  veen   veen veen,7,7
1695,veen  veen   zeeklei,18,18
1696,veen  veen  klei ,1,1
1697,veen  veen  veen ,139,139
1698,veen  veen  veen veen,21,21
1699,veen  veen  zand ,4,4
1700,veen  veen klei  ,10,10
1701,Veen  Veen Klei   ,1,1
1702,Veen  Veen Klei  Klei,2,2
1703,veen  veen klei  veen,24,24
1704,veen  veen klei klei ,6,6
1705,veen  veen klei klei veen,40,40
1706,veen  veen PKB  ,5,5
1707,Veen  Veen PKB  ,4,4
1708,veen  veen veen - veen,2,2
1709,veen  veen veen  ,6,6
1710,Veen  Veen Veen  ,4,4
1711,veen  veen veen   ,17,17
1712,Veen  Veen Veen   ,25,25
1713,veen  veen veen  veen,2943,2943
1714,Veen  Veen Veen  Veen,186,186
1715,Veen  Veen Veen  Zand,5,5
1716,veen  veen veen  zeeklei,1,1
1717,veen  veen veen klei veen,36,36
1718,veen  veen veen veen veen,130,130
1719,Veen  Veen Zand   ,5,5
1720,Veen  Veen Zand  Zand,93,93
1721,Veen  zand -  Veen,3,3
1722,veen  zand   ,9,9
1723,Veen  zand    Veen,1,1
1724,veen  zand  veen ,2,2
1725,veen  zand  zand ,3,3
1726,veen  zand PKB  ,2,2
1727,veen  zand PKB  -,11,11
1728,Veen  zand PKB  ,8,8
1729,Veen  zand PKB  Veen,1,1
1730,veen  zand PKB veen -,1,1
1731,veen  zand PKB zand ,1,1
1732,veen  zand veen  veen,2,2
1733,Veen  Zand Veen  Veen,1,1
1734,veen klei   klei ,15,15
1735,veen klei veen - klei -,5,5
1736,veen klei veen   ,8,8
1737,veen klei veen  klei ,32,32
1738,veen klei veen veen  veen,2,2
1739,veen klei veen veen klei veen,4,4
1740,veen veen - -   ,1,1
1741,veen veen - - veen ,3,3
1742,veen veen - - veen -,6,6
1743,veen veen - - veen  ,2,2
1744,veen veen -  - ,109,109
1745,veen Veen -  - ,10,10
